Date;Soc Gen CTA Index;Soc Gen CTA Trend Index
08/01/2001;113,1280383;118,6558038
09/01/2001;112,7503037;117,8495376
10/01/2001;111,4030504;115,1619789
11/01/2001;112,8090683;117,0622667
12/01/2001;111,8741067;114,8269627
15/01/2001;111,6567353;114,5852519
16/01/2001;110,9871299;113,0730704
17/01/2001;111,1404031;113,4802465
18/01/2001;112,084652;115,341436
19/01/2001;110,6842663;112,7461384
22/01/2001;110,3154664;112,3961744
23/01/2001;110,381435;112,0933791
24/01/2001;109,6576639;110,8037447
25/01/2001;109,2320825;110,4046297
26/01/2001;109,718493;111,5417973
29/01/2001;109,2840078;110,805733
30/01/2001;109,4725227;111,1387042
31/01/2001;110,3803783;113,0941897
01/02/2001;110,6458431;113,8633433
02/02/2001;109,6714958;111,8596901
05/02/2001;109,8253649;112,6197767
06/02/2001;109,1610313;111,4605813
07/02/2001;110,0053919;112,9537073
08/02/2001;109,4019023;111,812536
09/02/2001;110,5060957;113,8923609
12/02/2001;110,5674266;113,8472596
13/02/2001;109,6666338;112,7431688
14/02/2001;108,976721;111,3112178
15/02/2001;107,7748167;108,5174176
16/02/2001;108,3898876;110,1660142
19/02/2001;108,634632;110,4087099
20/02/2001;108,4337665;110,3094525
21/02/2001;108,6455377;110,8279069
22/02/2001;108,417708;110,3074591
23/02/2001;108,7407927;110,8920886
26/02/2001;109,0701686;111,77856
27/02/2001;109,7855598;113,1313041
28/02/2001;110,5234286;114,3306091
01/03/2001;111,3017346;115,5650366
02/03/2001;111,5690813;115,703368
05/03/2001;111,2012381;115,5188211
06/03/2001;111,2922007;115,2992198
07/03/2001;112,0425327;116,6479901
08/03/2001;112,1995043;116,9518581
09/03/2001;111,8844481;116,2970447
12/03/2001;112,9880763;118,0639457
13/03/2001;112,7173569;117,745055
14/03/2001;114,5066322;121,0662897
15/03/2001;115,4727246;122,4221111
16/03/2001;116,3056294;123,988502
19/03/2001;116,1969999;123,4679983
20/03/2001;115,7425535;122,3569098
21/03/2001;116,7360876;124,497911
22/03/2001;118,1125228;127,1995156
23/03/2001;116,290519;123,9685207
26/03/2001;115,5902175;122,7661501
27/03/2001;114,3191874;120,2370446
28/03/2001;114,578692;120,4535915
29/03/2001;115,0565997;121,2608715
30/03/2001;116,4274991;123,8560967
02/04/2001;116,3218994;123,2984965
03/04/2001;116,057616;122,6577142
04/04/2001;115,6560567;121,811376
05/04/2001;114,5396288;119,8860254
06/04/2001;114,9957256;121,145548
09/04/2001;115,172474;121,3752399
10/04/2001;113,7765836;118,1101246
11/04/2001;112,9333853;116,1496146
12/04/2001;111,7890313;113,7458984
13/04/2001;111,8107184;113,7569317
16/04/2001;111,7647642;113,4610499
17/04/2001;111,6683112;113,7338103
18/04/2001;111,226328;112,6527704
19/04/2001;110,5282716;111,3912847
20/04/2001;110,5391034;111,7703493
23/04/2001;110,4838338;111,8816725
24/04/2001;110,7600434;112,485386
25/04/2001;110,5593462;112,1032732
26/04/2001;110,5776991;112,1142593
27/04/2001;111,3474304;113,4931526
30/04/2001;111,4526537;113,4931526
01/05/2001;110,9348447;112,6427484
02/05/2001;110,6366519;111,7863256
03/05/2001;110,5366363;111,5516861
04/05/2001;110,2030368;111,1054793
07/05/2001;110,4272999;111,7944444
08/05/2001;110,6403142;112,3420136
09/05/2001;110,8247516;112,3310041
10/05/2001;110,5915763;112,2968554
11/05/2001;111,2782394;113,3637879
14/05/2001;111,7165644;114,3726122
15/05/2001;111,6707606;114,3616324
16/05/2001;111,3462454;113,9043003
17/05/2001;110,9411677;113,0268954
18/05/2001;111,4810075;113,9424133
21/05/2001;111,4348543;113,7830079
22/05/2001;112,3225444;115,0686421
23/05/2001;112,2839054;114,7236663
24/05/2001;112,0974019;114,3105464
25/05/2001;112,2340486;114,6996595
28/05/2001;112,1892672;114,5732604
29/05/2001;112,2618537;114,7216328
30/05/2001;112,0191435;114,0908933
31/05/2001;112,6265113;114,6614618
01/06/2001;111,7539937;112,8844385
04/06/2001;111,5880391;112,6468167
05/06/2001;110,8193091;111,4865545
06/06/2001;111,1673925;111,9768724
07/06/2001;111,3429258;112,2686841
08/06/2001;111,4317775;112,5825874
11/06/2001;111,7956022;113,0328051
12/06/2001;111,4712832;112,3889703
13/06/2001;111,3206855;112,2204992
14/06/2001;110,5071539;110,6039629
15/06/2001;110,7520378;110,7262909
18/06/2001;110,6642114;110,5487967
19/06/2001;110,9466265;111,4222427
20/06/2001;110,9985495;111,1324335
21/06/2001;110,9088627;110,9659571
22/06/2001;110,6613141;110,5769104
25/06/2001;110,5761049;110,6210306
26/06/2001;110,5332013;110,4996793
27/06/2001;110,8933185;111,1845564
28/06/2001;111,6877582;112,64163
29/06/2001;111,2881394;111,9657802
02/07/2001;111,1217637;111,4844393
03/07/2001;110,9429688;110,9940192
04/07/2001;110,9239975;111,0601717
05/07/2001;112,2212537;112,7258521
06/07/2001;111,3518756;111,0913273
09/07/2001;111,2547768;111,047224
10/07/2001;110,8045287;109,8810061
11/07/2001;110,019811;108,749891
12/07/2001;109,8402587;108,749891
13/07/2001;110,4329567;109,7065638
16/07/2001;110,6304109;109,8158315
17/07/2001;110,3538348;109,4648601
18/07/2001;110,4001834;108,7638472
19/07/2001;110,0854325;108,4379907
20/07/2001;109,3700974;107,0711298
23/07/2001;110,0188808;108,013784
24/07/2001;110,1395715;108,0789163
25/07/2001;109,9489199;107,8192027
26/07/2001;109,7858657;107,6678245
27/07/2001;109,7038556;107,5925647
30/07/2001;110,278265;108,1521537
31/07/2001;110,4746706;108,7147612
01/08/2001;110,6723098;108,3237142
02/08/2001;109,4265823;106,0914874
03/08/2001;109,8024626;107,0040864
06/08/2001;110,0053775;107,282832
07/08/2001;109,606938;106,8426506
08/08/2001;110,4254827;108,0821321
09/08/2001;110,9719784;108,7630496
10/08/2001;111,1130238;109,1762404
13/08/2001;111,7180342;110,1921253
14/08/2001;110,9382423;108,5826591
15/08/2001;111,0817964;108,5074114
16/08/2001;111,5251238;109,48311
17/08/2001;113,0340588;111,9690335
20/08/2001;112,2611319;110,5911426
21/08/2001;111,8066988;109,739812
22/08/2001;111,3121778;109,1691649
23/08/2001;111,4308366;109,2894694
24/08/2001;110,5563273;107,4643352
27/08/2001;110,1964665;106,9057356
28/08/2001;111,1689503;109,2894128
29/08/2001;111,6283004;110,3824162
30/08/2001;113,3875624;113,1752017
31/08/2001;112,5017788;111,8164202
03/09/2001;112,6571438;112,0630873
04/09/2001;108,7041172;103,8711635
05/09/2001;108,8668473;104,2241177
06/09/2001;110,3355699;107,1522943
07/09/2001;112,0186287;110,3993303
10/09/2001;111,6226429;109,6812931
11/09/2001;114,0888335;114,9570729
12/09/2001;114,2727447;115,8886851
13/09/2001;115,2007537;117,5924805
14/09/2001;116,801353;120,1084892
17/09/2001;116,8283341;120,4695353
18/09/2001;116,1951245;119,0355865
19/09/2001;116,2413702;119,0947471
20/09/2001;116,314021;119,1428614
21/09/2001;116,2472568;119,1187946
24/09/2001;114,8775154;116,4382643
25/09/2001;115,4778652;117,5333662
26/09/2001;115,6283329;118,1330214
27/09/2001;115,2534659;117,5894914
28/09/2001;114,2995129;116,3309311
01/10/2001;114,8235762;117,1101157
02/10/2001;115,6915276;118,3405916
03/10/2001;115,7907909;118,8731243
04/10/2001;115,2292056;118,2303773
05/10/2001;115,7356379;119,2472768
08/10/2001;115,7822794;119,4619219
09/10/2001;114,6517812;117,3119657
10/10/2001;114,2519905;116,1627777
11/10/2001;112,8361798;112,5957673
12/10/2001;113,300952;114,0708844
15/10/2001;113,947334;115,2913288
16/10/2001;114,1530089;115,7295511
17/10/2001;113,8784709;115,2672116
18/10/2001;114,5024111;116,9268289
19/10/2001;113,9644787;115,8859463
22/10/2001;114,1035154;115,6081676
23/10/2001;113,726061;114,7868872
24/10/2001;114,6853403;116,6812152
25/10/2001;115,6633769;118,7811271
26/10/2001;115,5552316;118,662821
29/10/2001;116,4356469;120,5380496
30/10/2001;117,618866;122,875644
31/10/2001;118,5324117;124,7187787
01/11/2001;119,0884472;126,2029321
02/11/2001;118,2495882;124,802963
05/11/2001;118,6732765;125,551032
06/11/2001;118,7253741;125,626237
07/11/2001;119,6821819;127,8875093
08/11/2001;118,130622;124,9723135
09/11/2001;117,3321772;123,5473792
12/11/2001;117,2750364;123,8562477
13/11/2001;115,8791116;120,4868623
14/11/2001;114,3975972;117,6679517
15/11/2001;112,6447972;113,7730248
16/11/2001;111,1685871;110,7124167
19/11/2001;112,0554901;112,3178574
20/11/2001;111,1766389;111,0373215
21/11/2001;110,7371577;110,1828893
22/11/2001;110,702054;110,1828893
23/11/2001;111,0072596;110,3804472
26/11/2001;110,9260022;110,226025
27/11/2001;110,0268361;108,4841231
28/11/2001;109,6307395;107,8774799
29/11/2001;110,0816507;108,7830035
30/11/2001;109,4747706;107,7610959
03/12/2001;109,340445;107,8042004
04/12/2001;109,6657328;108,4400296
05/12/2001;109,5438942;107,7570743
06/12/2001;109,9198488;108,3597596
07/12/2001;110,0928627;108,6636003
10/12/2001;110,3607186;109,1419375
11/12/2001;110,4089463;109,3164555
12/12/2001;110,1649425;108,5071857
13/12/2001;110,207356;108,9083368
14/12/2001;110,9487209;109,4638782
17/12/2001;111,3907406;110,547899
18/12/2001;111,198146;110,1608708
19/12/2001;110,7853785;109,5882546
20/12/2001;111,1387838;110,2782223
21/12/2001;111,512877;111,2047799
24/12/2001;111,7664573;111,3160959
25/12/2001;111,7897047;111,3721992
26/12/2001;112,1951659;111,7954135
27/12/2001;112,5758441;112,320852
28/12/2001;112,1549231;111,6128937
31/12/2001;112,2836769;111,9136904
01/01/2002;112,2836769;111,9136904
02/01/2002;112,2218086;111,1535726
03/01/2002;111,8288078;110,97506
04/01/2002;111,0933098;109,6543458
07/01/2002;110,7301457;108,9854543
08/01/2002;111,6880722;110,2830351
09/01/2002;111,7827837;110,7122567
10/01/2002;111,7509256;110,1366637
11/01/2002;111,3930991;109,8066942
14/01/2002;111,1284291;109,3674674
15/01/2002;110,4745495;108,4599362
16/01/2002;110,3658425;108,2864003
17/01/2002;110,673101;109,3473904
18/01/2002;110,8442016;109,4015174
21/01/2002;110,8723561;109,5007446
22/01/2002;111,8564591;110,7923059
23/01/2002;111,5091448;110,3160097
24/01/2002;111,9238473;110,9337794
25/01/2002;112,3169238;111,654738
28/01/2002;111,6031498;110,3149928
29/01/2002;111,3587389;109,8075439
30/01/2002;111,2206541;109,9720356
31/01/2002;111,7934404;111,1161846
01/02/2002;111,3232372;110,1494738
04/02/2002;110,5283893;108,4857762
05/02/2002;111,4889915;110,4712828
06/02/2002;111,4335815;110,3389382
07/02/2002;111,4020458;110,5705397
08/02/2002;111,5232512;110,2055463
11/02/2002;110,6408793;108,4968093
12/02/2002;109,9890938;107,7376571
13/02/2002;110,3191711;108,545905
14/02/2002;110,0054234;107,6553944
15/02/2002;110,0753868;107,634294
18/02/2002;109,8469804;107,5911326
19/02/2002;110,3575492;108,1286579
20/02/2002;110,3731096;108,1938595
